URL,タイトル,詐欺種別,名称等,所在地,代表者,電話番号,E-mail,被害内容
https://www.wise-agent.com/%e5%90%89%e6%9d%91%e5%9c%ad%e6%82%9f%e3%81%aefintech%e8%a2%ab%e5%ae%b3%e8%80%85%e6%95%91%e6%b8%88%e3%81%ae%e4%bb%b6/,吉村圭悟のFINTECH被害者救済の件,情報商材,吉村圭悟の仮想通貨革命THE・FINTECH2018,大阪府大阪市天王寺区味原町16-14,吉村圭悟（上原哲郎）,03-4590-6670,mail@the-fintech2018.com,"■販売会社HOLD MY HAND合同会社大阪府大阪市天王寺区味原町16-14
■商品の性質FINTECH2018という商品は，仮想通貨の取引を業者がシステムトレードにより代行するという内容ですが，このような事業を営む場合は資金決済法に基づく許認可等を受ける必要がありますが，吉村圭悟は無登録でこれらの事業を営んで消費者被害をもたらしています。
■詐欺商法の事実吉村圭悟は，その販売用ウェブサイトにおいて，「毎日最低７万円の現金とビットコインを参加者全員にプレゼントする。」という内容の広告を表示させ，現金等を贈与する公約を掲げていますが，実際にビットコインと現金７万円が贈与された事実は確認できません。一連の行為は詐欺罪の構成要件に該当します。
 
手口があの『ジパング』に似ています。被害に遭われた方は当法人までご相談ください。
"
https://www.wise-agent.com/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%82%a4%e3%83%b3%e3%83%95%e3%82%a3%e3%83%8b%e3%83%86%e3%82%a3/,株式会社インフィニティ,融資金詐欺,ロトビルド（LOTO Build）,〒123-4567 東京都中央区銀座7-13-6,佐藤一郎,03-4431-1449,info@loto6-build.com,"ロト６の当選番号を教えると言って，供託金，または保証金名目で現金を詐取する。
"
https://www.wise-agent.com/%e8%8f%85%e4%ba%95%e8%88%aa%e5%b9%b3%e3%81%ab%e3%82%88%e3%82%8b%e3%83%90%e3%82%a4%e3%83%8a%e3%83%aa%e3%82%aa%e3%83%97%e3%82%b7%e3%83%a7%e3%83%b3%e8%a2%ab%e5%ae%b3%e3%81%ab%e6%b3%a8%e6%84%8f/,菅井航平によるバイナリオプション勧誘に要注意,FX投資詐欺,株式会社IDP,-,石田,-,-,"菅井航平 は，株式会社IDPの関係者として，同社が販売するバイナリオプションの売買ツールを法外な価格で販売する代理店の役割を行っています。菅井航平は，ターゲットを株式会社IDP石田に引き継ぐまでの役割を担い，その後，石田が契約を取り付けるという流れになりますが，契約金がない場合は，消費者金融に借りさせるなど石田の手口は極めて悪質です。また，消費者金融で融資を受ける際に，株式会社IDPで働いているかのように偽装工作をして，ターゲットに融資を申し込ませていますが，これは融資金詐欺に該当します。
■菅井航平 茨城県出身現役法政大学生
 
※被害に遭われた方はご相談ください。
"
https://www.wise-agent.com/%e6%9d%be%e5%ae%ae%e7%be%a9%e4%bb%81%e3%83%95%e3%83%aa%e3%83%bc%e3%83%80%e3%83%a0%e3%83%a9%e3%82%a4%e3%83%95%e3%82%af%e3%83%a9%e3%83%96%e3%80%90%e8%a9%90%e6%ac%ba%e8%a2%ab%e5%ae%b3%e6%83%85%e5%a0%b1/,【緊急告知】松宮義仁フリーダムライフクラブ刑事告発,情報商材,Fintech Gate Asia株式会社,東京都千代田区内幸町1-1-1 帝国ホテルタワー15F,松宮義仁,-, info@matsumiya-freedom.com ,"現在当法人では，松宮義仁が発行している仮想通貨NAGEZENIに関して，刑事告発の手続を行っています。
しかしながら，当方で了知している被害者の中に東京都在住の方がいません。
警察としては，管轄内（東京都内）の被害者からの被害事実を聴取できれば刑事事件として検討するということになっています。 
東京都内にお住まいで，平成30年6月1日以降に被害に遭われた方がいましたらご協力をお願いします。（6/1に資金決済法が改正されているためです。） 
※費用は一切頂きません。 
松宮義仁に一矢報いるため，ご協力して頂ける方は当方にご連絡ください。info@wise-agent.com
（2019.8.26本文記事更新）
 
 
"
https://www.wise-agent.com/afs%e3%81%a8%e3%81%84%e3%81%86%e6%8a%95%e8%b3%87%e7%b3%bb%e8%a9%90%e6%ac%ba%e3%81%ae%e7%9b%b8%e8%ab%87%e7%aa%93%e5%8f%a3%e9%96%8b%e8%a8%ad/,アセットフォーメーション(AFS)本当に許せません,FX投資詐欺,株式会社アドバンス,大阪市中央区南船場２丁目１０-２８　下村ビル5F,鈴木　健二,070-4473-5295,info@afs-system.com,"アセットフォーメーションシステム（ＡＦＳ）とは，
『利回り2000％の利益を生む人工知能搭載のシステムでマウスを１回クリックするだけで実践したその日に「報酬」が発生するこれまでの常識を完全に覆す新しい投資手法』
の名称です。
そして，『実践した方は１００％全員が成果を出しています。』という性質だそうです。

アセットフォーメーションシステムの被害に遭われた方は当法人までご相談ください。
 
 
 
 
 
"
https://www.wise-agent.com/%e3%80%90%e6%8a%95%e8%b3%87%e8%a9%90%e6%ac%ba%e3%80%91%e3%82%b3%e3%83%b3%e3%83%81%e3%83%8d%e3%83%b3%e3%82%bf%e3%83%ab%e3%83%90%e3%83%b3%e3%82%b3%e3%83%bc%e3%83%97%e3%80%80%e4%ba%95%e6%9d%91%e5%93%b2/,【投資詐欺】コンチネンタルバンコープ　井村哲郎,その他投資詐欺,コンチネンタルバンコープ,大阪府大阪市中央区上汐2-3-10 上汐Leesビル 5F,井村哲郎,06-4303-5502,-,"コンチネンタルバンコープに関する詐欺被害が急増しております。
当法人では刑事告発を検討しております。
被害に遭われた方は当法人までご相談ください。
"
https://www.wise-agent.com/%e3%83%aa%e3%83%bb%e3%82%b8%e3%83%a3%e3%83%91%e3%83%b3%e3%83%bb%e3%83%97%e3%83%ad%e3%82%b8%e3%82%a7%e3%82%af%e3%83%88%e8%a2%ab%e5%ae%b3%e7%9b%b8%e8%ab%87%e7%aa%93%e5%8f%a3/,リ・ジャパン・プロジェクト被害相談窓口,情報商材,Re:Japan（リ・ジャパンプロジェクト）,-,石塚幸太郎,-,-,"仮想通貨自動売買システムに登録するだけで毎月１０６万円が分配されるという嘘により現金を詐取したとしてリ・ジャパンプロジェクト代表者田口聖也が逮捕されました。
被害者の皆様で被害金をクレジットカードで支払っている場合は被害回復ができる場合がありますので諦める前にご相談ください。
 
"
https://www.wise-agent.com/%e6%a0%aa%e5%bc%8f%e4%bc%9a%e7%a4%be%e3%83%91%e3%83%bc%e3%82%bd%e3%83%8a%e3%83%ab%e3%83%96%e3%83%a9%e3%82%a4%e3%83%b3%e3%83%89%e3%80%80%e3%83%9f%e3%82%af%e3%82%b9%e4%ba%8b%e6%a5%ad%e9%83%a8%e3%80%90/,株式会社パーソナルブラインド　ミクス事業部【被害者急増中】,その他投資詐欺,株式会社パーソナルブラインド,東京都渋谷区渋谷1-13-8,山口　貴代,03-3856-7907,-,"パーソナルブランドスタイルが代理店として投資金を収集しRFPホールディングスで運用。ダイヤモンド卸会社ティーズダイアモンドへ投資。配当金が支払われることはない。
"
https://www.wise-agent.com/%e5%90%89%e6%9d%91%e5%9c%ad%e6%82%9f%e3%80%8ethe%e3%83%bbfintech2018%e3%80%8f%e3%81%ae%e8%a2%ab%e5%ae%b3%e5%af%be%e7%ad%96/,吉村圭悟『THE・FINTECH2018』の被害対策,仮想通貨詐欺,吉村圭悟（偽名）,-,-,-,http://web.archive.org/web/20180403064744/http://the-fintech2018.com/nbfyjklos/lp/oaysmay4/,"典型的な仮想通貨系の詐欺的商法です。毎日、現金7万円とビットコインを生涯に渡って、受け取ることができるという嘘により，システム代金名下に金銭を詐取するという手口。
被害に遭われた方は当法人までご相談ください。
"
https://www.wise-agent.com/%e5%a4%a7%e5%af%8c%e8%b1%aa%e3%83%93%e3%82%b8%e3%83%8d%e3%82%b9%e3%80%8caenokoto-ltd%e3%80%8d%e8%a9%90%e6%ac%ba/,大富豪ビジネス「AENOKOTO.Ltd」ねずみ講詐欺,副業・在宅ワーク詐欺,AENOKOTO（アエノコト）,-,一瀬健太郎,-,-,"マレーシア大富豪ビジネスの契約は連鎖販売取引に該当するので，クーリングオフが可能です。なお，説明は省きますが，法律上契約日から５年以内はクーリングオフが可能です。
 
大富豪ビジネスは無限連鎖講の防止に関する法律（ねずみ講防止法）に違反する立派な犯罪行為になります。被害に遭われた方はまずは警察の生活安全課に相談してください。
当事務所ではねずみ講防止法違反で刑事告発を準備していますので，情報提供を求めます。
"
